randomSeed,currentYear,currentDayOfYear,temperature,maxTemperature,minTemperature,solarRadiation,precipitation
8,0,1,12.659756881376108,20.55975688137611,5.859756881376108,9.203007056456027,4.136566328849981
8,0,2,12.27587449699867,20.17587449699867,5.47587449699867,12.535061627371627,16.35825808821343
8,0,3,11.579489411793082,19.479489411793082,4.779489411793082,4.492514249007073,0
8,0,4,10.8607844189302,18.7607844189302,4.0607844189302,4.670578222709916,0
8,0,5,12.925807433429595,20.825807433429596,6.125807433429595,5.277704092296293,0
8,0,6,14.040099664981064,21.940099664981062,7.240099664981064,6.320878990354467,0
8,0,7,13.71278970914917,21.61278970914917,6.912789709149171,8.03431407340625,0
8,0,8,13.146906251400289,21.046906251400287,6.346906251400289,8.36241923143818,0
8,0,9,14.857416634287164,22.757416634287164,8.057416634287165,5.716974264669217,0
8,0,10,13.530792703734921,21.430792703734923,6.730792703734921,8.988907876542653,0
8,0,11,13.825572178571393,21.725572178571394,7.025572178571394,11.679897402547976,0
8,0,12,16.305641144067348,24.20564114406735,9.505641144067347,9.414698993947507,0
8,0,13,12.419031928905804,20.319031928905805,5.619031928905804,7.988557049729216,0
8,0,14,14.321400994843819,22.22140099484382,7.521400994843819,5.860562843446424,0
8,0,15,15.356918576311022,23.256918576311023,8.556918576311023,11.925101778021842,0
8,0,16,16.255061567807576,24.15506156780758,9.455061567807576,14.310894473301314,0
8,0,17,17.528820037538786,25.428820037538785,10.728820037538785,9.435163853098627,0
8,0,18,15.98892622225489,23.888926222254888,9.188926222254889,9.400312445865847,17.35645195399224
8,0,19,13.93387423057399,21.83387423057399,7.13387423057399,10.527680740103339,0
8,0,20,13.439616567456866,21.339616567456865,6.639616567456867,11.786774702405395,0
8,0,21,18.511279521122564,26.411279521122566,11.711279521122563,5.690121278454039,0
8,0,22,12.761256664208377,20.661256664208377,5.961256664208377,6.402833950736966,8.957112647893238
8,0,23,13.892308278528125,21.792308278528125,7.092308278528125,17.33168244108692,0
8,0,24,10.90358856944204,18.80358856944204,4.1035885694420395,8.862293494080333,0
8,0,25,13.757047607743065,21.657047607743067,6.957047607743065,16.469251471263785,0
8,0,26,17.225872956835055,25.125872956835053,10.425872956835054,13.187416956062917,0
8,0,27,16.340326863063034,24.240326863063032,9.540326863063033,9.768450364752505,0
8,0,28,15.059231388234888,22.95923138823489,8.259231388234888,15.071148970605819,0
8,0,29,14.780298329757407,22.680298329757406,7.9802983297574075,9.538736656094818,0
8,0,30,14.895074066489066,22.795074066489065,8.095074066489065,15.731580785005825,0
8,0,31,15.135275765053867,23.035275765053868,8.335275765053868,9.802203105513938,0
8,0,32,12.539302515383625,20.439302515383623,5.739302515383625,12.737726955262142,0
8,0,33,12.44103263935963,20.341032639359632,5.64103263935963,8.478514605849167,0
8,0,34,19.561849308782698,27.461849308782696,12.761849308782697,11.82952001502524,0
8,0,35,15.833864646599968,23.73386464659997,9.03386464659997,13.73317347285833,0
8,0,36,12.371819856192793,20.271819856192792,5.571819856192794,12.342761353152044,0
8,0,37,17.40667936762162,25.30667936762162,10.60667936762162,14.944890455064858,0
8,0,38,16.977658618601854,24.877658618601856,10.177658618601853,12.549565610088687,0
8,0,39,19.081366127375027,26.981366127375026,12.281366127375026,13.055272743167604,0
8,0,40,18.336716134253987,26.23671613425399,11.536716134253986,10.326427728607683,0
8,0,41,20.68437229114493,28.58437229114493,13.884372291144928,4.390523188081832,0
8,0,42,14.1602089008815,22.0602089008815,7.3602089008815,13.148597038749562,16.634637774658863
8,0,43,18.72856413459039,26.62856413459039,11.928564134590388,16.78224377453143,0
8,0,44,13.705930859980576,21.605930859980575,6.905930859980576,19.61594231013886,13.395601570271618
8,0,45,17.646120099885664,25.546120099885663,10.846120099885663,12.027959716700234,0
8,0,46,18.85036401691144,26.75036401691144,12.050364016911438,10.248952349071777,0
8,0,47,19.716739262229996,27.61673926223,12.916739262229996,19.94289094441074,22.691839452024812
8,0,48,19.748461745071484,27.648461745071486,12.948461745071484,14.252969791302514,0
8,0,49,16.18914289407554,24.089142894075543,9.38914289407554,9.759713561712157,0
8,0,50,21.9979066057446,29.897906605744602,15.197906605744599,16.73597451794145,0
8,0,51,18.842604916080536,26.742604916080538,12.042604916080535,10.67696454059976,0
8,0,52,19.669164830950194,27.569164830950193,12.869164830950194,16.017213642454077,0
8,0,53,20.95678925542921,28.856789255429213,14.15678925542921,10.45749867989258,0
8,0,54,19.985268792154063,27.885268792154065,13.185268792154062,12.120272382088023,22.589767906665966
8,0,55,18.85593136394971,26.755931363949713,12.05593136394971,9.138840387895701,3.0751680626671494
8,0,56,18.91081723998286,26.81081723998286,12.110817239982858,14.462225778157004,17.99691464298207
8,0,57,21.03122543895668,28.93122543895668,14.231225438956681,14.344787573117985,0
8,0,58,15.595914200163344,23.495914200163345,8.795914200163345,14.426363388296982,0
8,0,59,17.78356221323939,25.68356221323939,10.983562213239388,15.343244275540043,0
8,0,60,20.076728493436757,27.97672849343676,13.276728493436757,15.952222277604083,13.853869293063736
8,0,61,18.653174060335257,26.55317406033526,11.853174060335256,19.32352294817979,0
8,0,62,19.758321728407772,27.65832172840777,12.958321728407771,11.357457522514967,0
8,0,63,23.200233899941068,31.100233899941067,16.400233899941068,16.168060362284148,0
8,0,64,23.647483466685497,31.5474834666855,16.847483466685496,12.416742874295466,0
8,0,65,21.128040082069575,29.028040082069573,14.328040082069574,14.03993358509989,0
8,0,66,21.837957755299552,29.737957755299554,15.037957755299551,13.61795283848985,0
8,0,67,20.424905730171755,28.324905730171757,13.624905730171754,8.087566353993925,7.4851279275354665
8,0,68,18.954780128258047,26.85478012825805,12.154780128258047,17.996275301104266,0
8,0,69,25.077843737046894,32.977843737046896,18.277843737046894,12.306811539085846,0
8,0,70,23.894199803256402,31.794199803256404,17.0941998032564,15.135111870585343,2.085142779813474
8,0,71,21.461506428722544,29.361506428722542,14.661506428722543,16.931452576691004,0
8,0,72,19.233709817320108,27.13370981732011,12.433709817320107,19.027549903585502,0
8,0,73,21.94127636504761,29.841276365047612,15.14127636504761,12.81989336527078,0
8,0,74,26.18539677864628,34.08539677864628,19.385396778646278,17.974619793699553,0
8,0,75,24.158462606988184,32.058462606988186,17.358462606988184,20.661387372997677,0
8,0,76,25.614574181468907,33.51457418146891,18.814574181468906,11.710544243973791,0
8,0,77,21.8366794165849,29.7366794165849,15.0366794165849,11.038928030517049,0
8,0,78,24.708701921248338,32.60870192124834,17.908701921248337,15.461348669925739,0
8,0,79,28.03570657280994,35.93570657280994,21.23570657280994,10.820482374368886,0
8,0,80,23.340307506556922,31.240307506556924,16.54030750655692,17.51580420478838,0
8,0,81,20.720113311827973,28.62011331182797,13.920113311827972,16.767613556158057,0
8,0,82,23.036974308846457,30.93697430884646,16.236974308846456,16.789125773617954,0
8,0,83,22.298693759687602,30.1986937596876,15.498693759687601,13.822843988375578,0
8,0,84,24.34519112782277,32.24519112782277,17.54519112782277,11.8094387882602,0
8,0,85,26.72828417653783,34.62828417653783,19.92828417653783,16.46645201984548,0
8,0,86,27.183005444437004,35.083005444437006,20.383005444437003,15.717925926792109,0
8,0,87,26.146307028669675,34.04630702866967,19.346307028669674,18.31736074048388,0
8,0,88,26.545550267983998,34.445550267984,19.745550267983997,20.1151386581101,0
8,0,89,24.84470919531572,32.74470919531572,18.04470919531572,14.404620165379644,0
8,0,90,26.673319611173568,34.57331961117357,19.873319611173567,18.165914960490653,11.815809085609427
8,0,91,28.958927467365875,36.858927467365874,22.158927467365874,17.66643360303709,0
8,0,92,29.002854325662092,36.90285432566209,22.20285432566209,14.174643841808699,0
8,0,93,25.51104010606659,33.411040106066594,18.71104010606659,22.420172947449934,0
8,0,94,31.561993982418656,39.461993982418655,24.761993982418655,16.63469942752177,0
8,0,95,26.773005037208424,34.673005037208426,19.973005037208424,16.951193719645627,4.970456760247928
8,0,96,28.392372863926052,36.292372863926055,21.59237286392605,18.5739002037573,0
8,0,97,27.62559864666265,35.52559864666265,20.825598646662648,18.897742474223243,0
8,0,98,32.03289114574213,39.932891145742126,25.232891145742126,18.27920170255328,0
8,0,99,27.466162612694323,35.366162612694325,20.666162612694322,20.545856639538535,0
8,0,100,25.774515335580105,33.674515335580104,18.974515335580104,20.88672845305638,0
8,0,101,29.56319499342899,37.46319499342899,22.76319499342899,18.871333849422236,0
8,0,102,31.675489557171392,39.575489557171394,24.87548955717139,22.383733645597218,0
8,0,103,26.25659826186813,34.15659826186813,19.45659826186813,27.160895900963986,0
8,0,104,28.173259128404435,36.07325912840444,21.373259128404435,24.36502478966808,0
8,0,105,27.235953834490164,35.13595383449017,20.435953834490164,20.803785821508768,0
8,0,106,26.897196472548767,34.79719647254877,20.097196472548767,16.56096473911084,0
8,0,107,35.42270051931289,43.32270051931289,28.62270051931289,21.413608641306432,0
8,0,108,31.09518669865834,38.99518669865834,24.295186698658338,19.194237966109753,0
8,0,109,33.55433649105695,41.45433649105695,26.75433649105695,16.819070292631185,0
